Package , CPU , GPU , DRAM? , Time (sec) 
0.013427734375000000, 0.009399414062500000,  ,  ,  1.477 
0.030883789062500000, 0.022949218750000000,  ,  ,  1.367 
0.013977050781250000, 0.009643554687500000,  ,  ,  1.285 
0.015136718750000000, 0.010925292968750000,  ,  ,  1.31 
0.015869140625000000, 0.011779785156250000,  ,  ,  1.19 
0.026916503906250000, 0.019226074218750000,  ,  ,  1.19 
0.013732910156250000, 0.009521484375000000,  ,  ,  1.151 
0.013000488281250000, 0.009521484375000000,  ,  ,  1.122 
0.022338867187500000, 0.015686035156250000,  ,  ,  1.188 
0.012207031250000000, 0.008728027343750000,  ,  ,  1.189 
