Package , CPU , GPU , DRAM? , Time (sec) 
0.023315429687500000, 0.016662597656250000,  ,  ,  1.6 
0.021606445312500000, 0.015869140625000000,  ,  ,  1.233 
0.015014648437500000, 0.011535644531250000,  ,  ,  1.263 
0.011657714843750000, 0.008850097656250000,  ,  ,  1.272 
0.027770996093750000, 0.021423339843750000,  ,  ,  1.262 
0.017211914062500000, 0.012756347656250000,  ,  ,  1.137 
0.015930175781250000, 0.012390136718750000,  ,  ,  1.3 
0.024169921875000000, 0.018432617187500000,  ,  ,  1.204 
0.006225585937500000, 0.004516601562500000,  ,  ,  1.236 
0.024841308593750000, 0.018554687500000000,  ,  ,  1.298 
