Package , CPU , GPU , DRAM? , Time (sec) 
6.016906738281250000, 5.408447265625000000,  ,  ,  191.837 
6.129516601562500000, 5.364868164062500000,  ,  ,  208.763 
6.085937500000000000, 5.366027832031250000,  ,  ,  209.011 
6.261596679687500000, 5.496887207031250000,  ,  ,  202.006 
6.496215820312500000, 5.735351562500000000,  ,  ,  207.881 
6.398193359375000000, 5.638305664062500000,  ,  ,  200.476 
6.341857910156250000, 5.623840332031250000,  ,  ,  197.47 
6.413208007812500000, 5.663085937500000000,  ,  ,  204.426 
6.647277832031250000, 5.896972656250000000,  ,  ,  207.718 
6.206481933593750000, 5.450500488281250000,  ,  ,  201.223 
