Package , CPU , GPU , DRAM? , Time (sec) 
0.031860351562500000, 0.026184082031250000,  ,  ,  1.664 
0.039855957031250000, 0.033874511718750000,  ,  ,  1.596 
0.026733398437500000, 0.021789550781250000,  ,  ,  1.364 
0.042358398437500000, 0.033020019531250000,  ,  ,  1.407 
0.023315429687500000, 0.017089843750000000,  ,  ,  1.41 
0.011962890625000000, 0.009338378906250000,  ,  ,  1.15 
0.029724121093750000, 0.023620605468750000,  ,  ,  1.471 
0.012390136718750000, 0.009155273437500000,  ,  ,  1.365 
0.027587890625000000, 0.021057128906250000,  ,  ,  1.371 
0.013671875000000000, 0.010437011718750000,  ,  ,  1.315 
