Package , CPU , GPU , DRAM? , Time (sec) 
0.030090332031250000, 0.022155761718750000,  ,  ,  1.781 
0.023986816406250000, 0.018859863281250000,  ,  ,  1.456 
0.047119140625000000, 0.038635253906250000,  ,  ,  1.529 
0.008911132812500000, 0.006408691406250000,  ,  ,  1.492 
0.027832031250000000, 0.021240234375000000,  ,  ,  1.351 
0.022766113281250000, 0.018005371093750000,  ,  ,  1.482 
0.071777343750000000, 0.061096191406250000,  ,  ,  1.436 
0.021057128906250000, 0.015991210937500000,  ,  ,  1.418 
0.018249511718750000, 0.014099121093750000,  ,  ,  1.359 
0.012207031250000000, 0.008972167968750000,  ,  ,  1.318 
