Package , CPU , GPU , DRAM? , Time (sec) 
7.452148437500000000, 6.462707519531250000,  ,  ,  229.635 
7.408386230468750000, 6.538208007812500000,  ,  ,  208.429 
7.705810546875000000, 6.725646972656250000,  ,  ,  231.228 
7.309875488281250000, 6.342529296875000000,  ,  ,  215.785 
6.741516113281250000, 5.917663574218750000,  ,  ,  205.982 
7.062500000000000000, 6.147033691406250000,  ,  ,  210.086 
6.910278320312500000, 5.992370605468750000,  ,  ,  209.981 
6.230712890625000000, 5.434082031250000000,  ,  ,  203.893 
6.428894042968750000, 5.647338867187500000,  ,  ,  209.593 
6.249755859375000000, 5.543640136718750000,  ,  ,  199.436 
