Package , CPU , GPU , DRAM? , Time (sec) 
0.039855957031250000, 0.030822753906250000,  ,  ,  1.721 
0.020202636718750000, 0.016052246093750000,  ,  ,  1.351 
0.021850585937500000, 0.017272949218750000,  ,  ,  1.34 
0.023315429687500000, 0.019287109375000000,  ,  ,  1.318 
0.049316406250000000, 0.040039062500000000,  ,  ,  1.342 
0.038391113281250000, 0.032897949218750000,  ,  ,  1.289 
0.029663085937500000, 0.023803710937500000,  ,  ,  1.418 
0.048828125000000000, 0.042785644531250000,  ,  ,  1.303 
0.026367187500000000, 0.021667480468750000,  ,  ,  1.37 
0.033386230468750000, 0.028198242187500000,  ,  ,  1.356 
