Package , CPU , GPU , DRAM? , Time (sec) 
0.537658691406250000, 0.442443847656250000,  ,  ,  22.523 
0.519897460937500000, 0.418457031250000000,  ,  ,  23.946 
0.545654296875000000, 0.451354980468750000,  ,  ,  21.808 
0.493286132812500000, 0.403869628906250000,  ,  ,  22.458 
0.570251464843750000, 0.472656250000000000,  ,  ,  22.681 
0.473083496093750000, 0.384460449218750000,  ,  ,  25.562 
0.517700195312500000, 0.437866210937500000,  ,  ,  22.485 
0.519165039062500000, 0.434997558593750000,  ,  ,  22.935 
0.512695312500000000, 0.434570312500000000,  ,  ,  22.212 
0.604003906250000000, 0.506958007812500000,  ,  ,  25.649 
