Package , CPU , GPU , DRAM? , Time (sec) 
0.054992675781250000, 0.044799804687500000,  ,  ,  1.512 
0.030456542968750000, 0.023681640625000000,  ,  ,  1.276 
0.021484375000000000, 0.015686035156250000,  ,  ,  1.46 
0.013427734375000000, 0.010192871093750000,  ,  ,  1.2 
0.033630371093750000, 0.026062011718750000,  ,  ,  1.119 
0.014526367187500000, 0.010986328125000000,  ,  ,  1.237 
0.016601562500000000, 0.012329101562500000,  ,  ,  1.253 
0.023925781250000000, 0.017944335937500000,  ,  ,  1.202 
0.012023925781250000, 0.009033203125000000,  ,  ,  1.17 
0.019592285156250000, 0.015136718750000000,  ,  ,  1.269 
