Package , CPU , GPU , DRAM? , Time (sec) 
5.823486328125000000, 5.193298339843750000,  ,  ,  196.154 
6.515930175781250000, 5.768554687500000000,  ,  ,  204.655 
6.078918457031250000, 5.367553710937500000,  ,  ,  195.235 
6.240966796875000000, 5.498229980468750000,  ,  ,  195.996 
6.367126464843750000, 5.629028320312500000,  ,  ,  199.137 
6.203918457031250000, 5.503234863281250000,  ,  ,  199.868 
6.322875976562500000, 5.593017578125000000,  ,  ,  202.845 
6.310852050781250000, 5.596557617187500000,  ,  ,  206.93 
6.333190917968750000, 5.578186035156250000,  ,  ,  192.988 
6.298400878906250000, 5.544799804687500000,  ,  ,  204.488 
