Package , CPU , GPU , DRAM? , Time (sec) 
6.854980468750000000, 6.028991699218750000,  ,  ,  205.709 
7.994934082031250000, 7.118835449218750000,  ,  ,  200.218 
8.840515136718750000, 7.852844238281250000,  ,  ,  205.723 
7.605102539062500000, 6.707336425781250000,  ,  ,  209.075 
7.432189941406250000, 6.491149902343750000,  ,  ,  207.62 
7.358520507812500000, 6.428405761718750000,  ,  ,  207.501 
7.279724121093750000, 6.289916992187500000,  ,  ,  210.959 
7.642761230468750000, 6.693725585937500000,  ,  ,  202.983 
6.653564453125000000, 5.830017089843750000,  ,  ,  199.88 
6.534545898437500000, 5.731262207031250000,  ,  ,  202.416 
