Package , CPU , GPU , DRAM? , Time (sec) 
0.050598144531250000, 0.043151855468750000,  ,  ,  1.415 
0.028259277343750000, 0.021667480468750000,  ,  ,  1.301 
0.021484375000000000, 0.016479492187500000,  ,  ,  1.244 
0.016784667968750000, 0.012756347656250000,  ,  ,  1.191 
0.013610839843750000, 0.010437011718750000,  ,  ,  1.234 
0.032714843750000000, 0.025329589843750000,  ,  ,  1.431 
0.016540527343750000, 0.013000488281250000,  ,  ,  1.314 
0.022399902343750000, 0.018310546875000000,  ,  ,  1.182 
0.036437988281250000, 0.029052734375000000,  ,  ,  1.357 
0.014404296875000000, 0.011474609375000000,  ,  ,  1.357 
