Package , CPU , GPU , DRAM? , Time (sec) 
0.065124511718750000, 0.055053710937500000,  ,  ,  1.732 
0.043334960937500000, 0.037048339843750000,  ,  ,  1.382 
0.040954589843750000, 0.035583496093750000,  ,  ,  1.552 
0.065551757812500000, 0.056762695312500000,  ,  ,  1.55 
0.029052734375000000, 0.025146484375000000,  ,  ,  1.373 
0.033813476562500000, 0.029052734375000000,  ,  ,  1.376 
0.042053222656250000, 0.033508300781250000,  ,  ,  1.488 
0.014648437500000000, 0.010375976562500000,  ,  ,  1.455 
0.029113769531250000, 0.022399902343750000,  ,  ,  1.61 
0.023986816406250000, 0.017456054687500000,  ,  ,  1.521 
