Package , CPU , GPU , DRAM? , Time (sec) 
6.513549804687500000, 5.735717773437500000,  ,  ,  205.503 
7.637023925781250000, 6.716064453125000000,  ,  ,  200.899 
6.847290039062500000, 6.024291992187500000,  ,  ,  206.1 
6.847717285156250000, 5.981750488281250000,  ,  ,  205.377 
7.259155273437500000, 6.407287597656250000,  ,  ,  212.621 
7.480712890625000000, 6.638549804687500000,  ,  ,  224.335 
6.869628906250000000, 6.067504882812500000,  ,  ,  208.601 
6.195068359375000000, 5.494323730468750000,  ,  ,  187.173 
6.983459472656250000, 6.188110351562500000,  ,  ,  203.916 
6.665832519531250000, 5.910888671875000000,  ,  ,  202.974 
