Package , CPU , GPU , DRAM? , Time (sec) 
0.032653808593750000, 0.024719238281250000,  ,  ,  1.689 
0.013671875000000000, 0.010131835937500000,  ,  ,  1.488 
0.030151367187500000, 0.023193359375000000,  ,  ,  1.249 
0.010864257812500000, 0.007873535156250000,  ,  ,  1.301 
0.023559570312500000, 0.017333984375000000,  ,  ,  1.197 
0.015563964843750000, 0.011657714843750000,  ,  ,  1.179 
0.012268066406250000, 0.009094238281250000,  ,  ,  1.178 
0.013366699218750000, 0.009521484375000000,  ,  ,  1.181 
0.013854980468750000, 0.010009765625000000,  ,  ,  1.146 
0.014831542968750000, 0.011352539062500000,  ,  ,  1.161 
