Package , CPU , GPU , DRAM? , Time (sec) 
0.038146972656250000, 0.029052734375000000,  ,  ,  1.477 
0.020996093750000000, 0.017150878906250000,  ,  ,  1.247 
0.038085937500000000, 0.029907226562500000,  ,  ,  1.242 
0.020874023437500000, 0.016601562500000000,  ,  ,  1.248 
0.016052246093750000, 0.012329101562500000,  ,  ,  1.35 
0.059204101562500000, 0.049194335937500000,  ,  ,  1.915 
0.034912109375000000, 0.027282714843750000,  ,  ,  1.495 
0.033447265625000000, 0.025573730468750000,  ,  ,  1.36 
0.014465332031250000, 0.011291503906250000,  ,  ,  1.033 
0.021789550781250000, 0.017700195312500000,  ,  ,  1.189 
