Package , CPU , GPU , DRAM? , Time (sec) 
0.012878417968750000, 0.009521484375000000,  ,  ,  1.724 
0.046325683593750000, 0.036132812500000000,  ,  ,  1.498 
0.020019531250000000, 0.016418457031250000,  ,  ,  1.437 
0.044616699218750000, 0.034851074218750000,  ,  ,  1.493 
0.035827636718750000, 0.028015136718750000,  ,  ,  1.62 
0.014892578125000000, 0.011230468750000000,  ,  ,  1.507 
0.035461425781250000, 0.028564453125000000,  ,  ,  1.365 
0.020629882812500000, 0.016357421875000000,  ,  ,  1.272 
0.061035156250000000, 0.050720214843750000,  ,  ,  1.583 
0.015930175781250000, 0.011718750000000000,  ,  ,  1.466 
