Package , CPU , GPU , DRAM? , Time (sec) 
0.041381835937500000, 0.031066894531250000,  ,  ,  1.872 
0.036315917968750000, 0.027770996093750000,  ,  ,  1.552 
0.028198242187500000, 0.022033691406250000,  ,  ,  1.5 
0.026428222656250000, 0.020751953125000000,  ,  ,  1.408 
0.030578613281250000, 0.024658203125000000,  ,  ,  1.323 
0.036376953125000000, 0.029846191406250000,  ,  ,  1.329 
0.046447753906250000, 0.035583496093750000,  ,  ,  1.416 
0.049316406250000000, 0.043457031250000000,  ,  ,  1.446 
0.027343750000000000, 0.021484375000000000,  ,  ,  1.377 
0.022277832031250000, 0.016662597656250000,  ,  ,  1.316 
