Package , CPU , GPU , DRAM? , Time (sec) 
6.862365722656250000, 6.033142089843750000,  ,  ,  197.922 
7.188354492187500000, 6.319641113281250000,  ,  ,  202.15 
6.398864746093750000, 5.574829101562500000,  ,  ,  193.175 
7.332153320312500000, 6.456115722656250000,  ,  ,  214.137 
7.426025390625000000, 6.430480957031250000,  ,  ,  218.478 
6.942504882812500000, 6.006713867187500000,  ,  ,  205.706 
6.536743164062500000, 5.677368164062500000,  ,  ,  203.344 
6.629577636718750000, 5.781005859375000000,  ,  ,  189.794 
7.520996093750000000, 6.584167480468750000,  ,  ,  204.95 
7.995056152343750000, 6.963195800781250000,  ,  ,  209.947 
