Package , CPU , GPU , DRAM? , Time (sec) 
0.125610351562500000, 0.094604492187500000,  ,  ,  8.668 
0.159057617187500000, 0.126892089843750000,  ,  ,  8.143 
0.122253417968750000, 0.094787597656250000,  ,  ,  8.002 
0.141906738281250000, 0.111694335937500000,  ,  ,  7.995 
0.125000000000000000, 0.092407226562500000,  ,  ,  8.47 
0.132934570312500000, 0.104858398437500000,  ,  ,  7.651 
0.214843750000000000, 0.178833007812500000,  ,  ,  8.452 
0.190856933593750000, 0.154479980468750000,  ,  ,  8.655 
0.201477050781250000, 0.165344238281250000,  ,  ,  8.747 
0.174255371093750000, 0.141479492187500000,  ,  ,  9.431 
