Package , CPU , GPU , DRAM? , Time (sec) 
58.292236328125000000, 51.929626464843750000,  ,  ,  1245.32 
24.168151855468750000, 20.174621582031250000,  ,  ,  1105.51 
21.100952148437500000, 17.921386718750000000,  ,  ,  1093.91 
21.848327636718750000, 18.353027343750000000,  ,  ,  1105.29 
21.232177734375000000, 17.734313964843750000,  ,  ,  1091.17 
24.032653808593750000, 20.151428222656250000,  ,  ,  1112.53 
33.646545410156250000, 28.746154785156250000,  ,  ,  1166.98 
23.646667480468750000, 19.834838867187500000,  ,  ,  1105.24 
23.129943847656250000, 19.636230468750000000,  ,  ,  1108.74 
24.627075195312500000, 20.584167480468750000,  ,  ,  1112.76 
