Package , CPU , GPU , DRAM? , Time (sec) 
0.079772949218750000, 0.068786621093750000,  ,  ,  2.047 
0.021301269531250000, 0.015808105468750000,  ,  ,  1.573 
0.028686523437500000, 0.021118164062500000,  ,  ,  1.493 
0.029357910156250000, 0.023620605468750000,  ,  ,  1.43 
0.029296875000000000, 0.024475097656250000,  ,  ,  1.401 
0.029174804687500000, 0.021789550781250000,  ,  ,  1.36 
0.013061523437500000, 0.009521484375000000,  ,  ,  1.346 
0.012756347656250000, 0.009277343750000000,  ,  ,  1.367 
0.051391601562500000, 0.043273925781250000,  ,  ,  1.49 
0.011962890625000000, 0.008605957031250000,  ,  ,  1.354 
