Package , CPU , GPU , DRAM? , Time (sec)
0.024719238281250000, 0.016784667968750000,  ,  ,  2.14 
0.011840820312500000, 0.015075683593750000,  ,  ,  1.563 
0.011047363281250000, 0.007751464843750000,  ,  ,  1.494 
0.040771484375000000, 0.030334472656250000,  ,  ,  1.562 
0.016174316406250000, 0.011901855468750000,  ,  ,  1.471 
0.018920898437500000, 0.014709472656250000,  ,  ,  1.451 
0.028991699218750000, 0.022216796875000000,  ,  ,  1.656 
0.025817871093750000, 0.018920898437500000,  ,  ,  1.519 
0.014404296875000000, 0.010864257812500000,  ,  ,  1.461 
0.025756835937500000, 0.019042968750000000,  ,  ,  1.36 
