Package , CPU , GPU , DRAM? , Time (sec) 
0.023803710937500000, 0.016296386718750000,  ,  ,  1.447 
0.022827148437500000, 0.017761230468750000,  ,  ,  1.3 
0.022827148437500000, 0.015197753906250000,  ,  ,  1.262 
0.013366699218750000, 0.009338378906250000,  ,  ,  1.246 
0.017944335937500000, 0.013061523437500000,  ,  ,  1.37 
0.012390136718750000, 0.008239746093750000,  ,  ,  1.297 
0.033386230468750000, 0.024353027343750000,  ,  ,  1.169 
0.018005371093750000, 0.013854980468750000,  ,  ,  1.048 
0.018310546875000000, 0.014160156250000000,  ,  ,  1.179 
0.013671875000000000, 0.010009765625000000,  ,  ,  1.148 
