Language,CPU,GPU,DRAM,Time
C++,0.028167724609375,,,1.5723
Go,0.034619140625,,,1.4187
Java,5.987286376953125,,,200.3155
JavaScript,0.464788818359375,,,22.095
OCaml,0.01932373046875,,,1.4419
Python,0.211932373046875,,,13.247899999999998
