Package , CPU , GPU , DRAM? , Time (sec) 
0.062133789062500000, 0.052368164062500000,  ,  ,  1.619 
0.024291992187500000, 0.047729492187500000,  ,  ,  1.82 
0.024169921875000000, 0.020324707031250000,  ,  ,  1.591 
0.035583496093750000, 0.030456542968750000,  ,  ,  1.249 
0.046142578125000000, 0.038879394531250000,  ,  ,  1.295 
0.020080566406250000, 0.016906738281250000,  ,  ,  1.33 
0.043457031250000000, 0.036254882812500000,  ,  ,  1.403 
0.025390625000000000, 0.021545410156250000,  ,  ,  1.243 
0.029602050781250000, 0.025634765625000000,  ,  ,  1.346 
0.065673828125000000, 0.056091308593750000,  ,  ,  1.291 
