Package , CPU , GPU , DRAM? , Time (sec) 
0.044799804687500000, 0.038757324218750000,  ,  ,  1.613 
0.049926757812500000, 0.040771484375000000,  ,  ,  1.667 
0.020324707031250000, 0.016418457031250000,  ,  ,  1.657 
0.042724609375000000, 0.034851074218750000,  ,  ,  1.877 
0.030212402343750000, 0.025329589843750000,  ,  ,  1.601 
0.022827148437500000, 0.018554687500000000,  ,  ,  1.533 
0.045227050781250000, 0.037231445312500000,  ,  ,  1.533 
0.020874023437500000, 0.017028808593750000,  ,  ,  1.419 
0.023193359375000000, 0.019348144531250000,  ,  ,  1.404 
0.039001464843750000, 0.033386230468750000,  ,  ,  1.419 
