Package , CPU , GPU , DRAM? , Time (sec) 
6.913269042968750000, 6.115234375000000000,  ,  ,  206.134 
6.736938476562500000, 5.872802734375000000,  ,  ,  196.421 
6.568237304687500000, 5.724670410156250000,  ,  ,  190.792 
6.875244140625000000, 6.071044921875000000,  ,  ,  203.752 
7.000305175781250000, 6.104248046875000000,  ,  ,  201.176 
7.018432617187500000, 6.132141113281250000,  ,  ,  198.558 
6.803955078125000000, 5.955810546875000000,  ,  ,  197.256 
6.956176757812500000, 6.044982910156250000,  ,  ,  213.279 
6.798461914062500000, 5.918640136718750000,  ,  ,  203.005 
6.752563476562500000, 5.933288574218750000,  ,  ,  192.782 
